id_equipamento,tipo_servico,desc_servico,date_created
8,preventivo,Ohtaube,11/10/2019
10,planejada,Oqamzdx,5/8/2020
8,planejada,Fukeuvu,8/27/2020
5,preventivo,Hhpxcno,11/21/2019
10,preventivo,Pwigpdh,5/27/2020
4,corretivo,Bkxqhot,12/29/2019
3,preventivo,Vrqagds,4/15/2020
8,preventivo,Kknnqps,11/21/2019
8,planejada,Lxbyfmw,7/5/2020
3,corretivo,Kktfwlf,9/4/2020
10,preventivo,Dxfcffr,2/18/2020
9,corretivo,Ngijqae,2/21/2020
3,corretivo,Jjecxxv,6/6/2020
4,preventivo,Maktrkv,8/19/2020
10,preventivo,Evlebcl,5/9/2020
3,planejada,Onoybzd,10/15/2019
9,planejada,Zpkldco,10/15/2019
2,planejada,Lbqhlez,6/12/2020
1,corretivo,Efkiote,1/27/2020
3,corretivo,Ftxtidu,8/5/2020
6,preventivo,Lrqgdvu,4/6/2020
6,preventivo,Vpuiihm,2/24/2020
7,planejada,Afipxla,2/29/2020
6,preventivo,Kdcsodx,2/7/2020
7,corretivo,Bozpvqg,12/12/2019
4,planejada,Ebdfvyf,1/4/2020
8,preventivo,Yenfgdu,11/21/2019
6,corretivo,Stjgwjv,10/8/2019
2,preventivo,Gnzahdc,8/20/2020
3,corretivo,Iuiehdl,11/14/2019
3,corretivo,Mxsnzxv,3/23/2020
1,preventivo,Hydlfta,1/22/2020
1,corretivo,Hkbfizb,1/28/2020
9,corretivo,Cxstqpq,11/1/2019
5,preventivo,Bnrygxw,1/12/2020
1,preventivo,Cgskzpe,7/24/2020
1,planejada,Efnqviv,2/26/2020
2,preventivo,Siaavym,7/26/2020
10,preventivo,Orxxgls,5/15/2020
8,preventivo,Mjddbii,10/11/2019
1,preventivo,Oarhkwn,8/20/2020
4,corretivo,Ixqdugy,3/12/2020
4,planejada,Zmbtgcl,11/26/2019
5,preventivo,Gikiinu,9/1/2020
7,preventivo,Qwoknhn,6/18/2020
7,planejada,Jmwkwvw,12/9/2019
2,preventivo,Pbldszk,12/6/2019
1,planejada,Loxlnpv,2/22/2020
10,preventivo,Qenvflt,5/27/2020
7,corretivo,Yeirwsm,10/17/2019
10,planejada,Sughale,1/4/2020
8,preventivo,Iwfchqs,5/26/2020
3,planejada,Bgmoziv,6/7/2020
7,preventivo,Ngxazte,7/27/2020
1,planejada,Ukkgcrf,9/9/2020
2,planejada,Yjciros,11/18/2019
4,planejada,Gjimsvb,10/11/2019
8,planejada,Yfphwoi,9/27/2020
2,preventivo,Lndgnxn,7/19/2020
8,planejada,Cgvsyic,3/25/2020
3,planejada,Uouhzyw,9/29/2020
2,corretivo,Pzdzokx,11/29/2019
5,preventivo,Duarcnp,4/28/2020
9,corretivo,Vuspncz,2/19/2020
1,corretivo,Qcmzeif,12/28/2019
1,corretivo,Yuxhbpo,11/10/2019
7,preventivo,Zrcfrme,7/18/2020
3,planejada,Fyxsfeh,1/7/2020
7,planejada,Ktqcfkq,2/16/2020
2,corretivo,Dxvubah,8/18/2020
2,corretivo,Cgsdnrh,7/10/2020
9,planejada,Oaqvgua,6/17/2020
8,corretivo,Vgzdtfs,10/29/2019
6,planejada,Kjcgvtf,3/30/2020
1,preventivo,Pwvjgtz,4/21/2020
7,preventivo,Xfgaisu,12/26/2019
8,planejada,Kxlzjiv,9/12/2020
4,planejada,Xnulxfb,11/11/2019
2,preventivo,Ftlxlgi,10/21/2019
5,planejada,Nnwsklt,8/20/2020
2,preventivo,Bvnohzg,10/26/2019
6,preventivo,Gimzwxr,5/29/2020
7,planejada,Stopvho,5/7/2020
4,planejada,Ueuhiyo,9/15/2020
5,preventivo,Uzdaief,10/28/2019
7,corretivo,Ovkisqf,10/10/2019
5,planejada,Wwxufck,8/20/2020
3,corretivo,Rpvvmji,11/3/2019
5,preventivo,Flziule,9/21/2020
6,planejada,Npndxmp,3/22/2020
4,preventivo,Rvhzmar,6/4/2020
8,preventivo,Csudluq,3/1/2020
3,corretivo,Hhtccvf,9/6/2020
9,corretivo,Kwsakzv,10/11/2019
3,planejada,Fxoskmc,8/30/2020
8,corretivo,Uffnxji,8/30/2020
3,corretivo,Oxqwsts,3/6/2020
6,corretivo,Oqdkows,5/22/2020
2,corretivo,Bfbayst,2/20/2020
7,planejada,Qkuimzi,8/18/2020
2,preventivo,Kqkoflr,5/23/2020
4,preventivo,Bexpvbg,9/21/2020
9,preventivo,Lalgowz,11/17/2019
6,planejada,Sixywbn,8/11/2020
2,preventivo,Dybwuce,4/27/2020
5,corretivo,Rgmccig,9/17/2020
5,planejada,Nefuhtb,11/1/2019
5,preventivo,Vkxkmbk,1/14/2020
3,planejada,Ovsoori,5/21/2020
8,preventivo,Guxzenh,7/1/2020
8,corretivo,Rugirux,7/5/2020
8,planejada,Gvtbdsx,4/18/2020
5,preventivo,Dioiznz,11/18/2019
5,corretivo,Lajutas,2/21/2020
6,planejada,Istpykd,10/21/2019
9,preventivo,Svihpkj,11/13/2019
10,preventivo,Bbpdriq,6/8/2020
9,planejada,Kiqktev,3/29/2020
1,planejada,Dtdscmk,1/24/2020
6,preventivo,Fawhahg,8/29/2020
3,corretivo,Npbvyza,11/21/2019
5,preventivo,Kmuwsgk,1/1/2020
1,preventivo,Jhvlyiv,8/18/2020
6,preventivo,Amyejut,1/24/2020
4,planejada,Eywcpfq,6/22/2020
9,planejada,Zjyjmiq,1/10/2020
4,preventivo,Rrqaobi,5/21/2020
3,preventivo,Cvbegxw,1/16/2020
9,planejada,Fivcuto,1/6/2020
10,planejada,Hvmstcr,3/19/2020
2,preventivo,Bytzlda,4/21/2020
2,corretivo,Worfgkf,6/30/2020
3,corretivo,Medimjf,6/9/2020
2,planejada,Vytdjhj,6/18/2020
1,preventivo,Tfrilyo,3/26/2020
7,planejada,Nbxbsed,8/14/2020
4,preventivo,Npvjjae,10/24/2019
5,corretivo,Wkatacu,12/8/2019
5,corretivo,Fmlkehe,6/1/2020
2,preventivo,Bbfikfn,9/5/2020
5,preventivo,Czgjqvr,5/13/2020
3,corretivo,Bxirxgn,3/7/2020
1,corretivo,Ugtiwsm,5/24/2020
5,corretivo,Kjtypvc,9/5/2020
2,preventivo,Xszqyev,11/15/2019
9,preventivo,Knmrfgc,11/23/2019
9,preventivo,Gzczgee,4/4/2020
4,preventivo,Rhgyqgj,4/25/2020
8,planejada,Eqedsje,12/20/2019
1,corretivo,Pxmujxa,11/10/2019
3,preventivo,Gfduhwv,6/17/2020
6,preventivo,Jjpqsjw,5/12/2020
10,corretivo,Xrhsdbu,2/11/2020
5,corretivo,Msmeppi,4/23/2020
6,planejada,Rjaqstm,4/10/2020
7,corretivo,Qcdsdtu,3/14/2020
8,planejada,Ntnxhoj,10/9/2019
2,planejada,Jtmezmk,9/12/2020
4,planejada,Vuusozn,2/10/2020
3,planejada,Gosdhrr,2/21/2020
9,corretivo,Xswyksn,3/19/2020
7,corretivo,Imdlwsv,8/2/2020
6,corretivo,Zejbyol,12/10/2019
5,planejada,Wcqsoso,6/9/2020
8,preventivo,Aiftujq,3/12/2020
10,planejada,Bklluzs,10/18/2019
2,corretivo,Gdyxwyp,11/13/2019
6,preventivo,Nwtnhvw,6/22/2020
9,corretivo,Bpgsggj,10/11/2019
7,preventivo,Ippuxew,2/9/2020
4,planejada,Algqttp,2/24/2020
4,preventivo,Xnvjdyu,5/7/2020
2,corretivo,Rhdmeqd,8/8/2020
3,preventivo,Ffvpkqv,5/24/2020
7,preventivo,Zruxneo,9/3/2020
4,planejada,Pkfgsfb,2/18/2020
5,planejada,Gsrghij,9/20/2020
7,planejada,Jaonywa,8/18/2020
1,preventivo,Jilvkks,10/23/2019
8,planejada,Hrpirzb,1/19/2020
4,preventivo,Qqjophu,7/15/2020
8,planejada,Orpxevq,10/17/2019
1,corretivo,Jerxrjx,1/30/2020
2,preventivo,Wxxbevf,4/12/2020
3,preventivo,Syhxhux,11/1/2019
5,preventivo,Kgdmink,9/21/2020
3,planejada,Ozfabpq,8/31/2020
7,corretivo,Oboixvm,6/16/2020
7,corretivo,Kjksiuk,1/26/2020
9,corretivo,Opiqfsa,7/9/2020
6,corretivo,Cqxrxuq,9/17/2020
5,corretivo,Nulbteu,12/16/2019
2,preventivo,Guhwfst,2/2/2020
3,planejada,Rykoicg,11/17/2019
5,planejada,Fuzwern,11/21/2019
8,corretivo,Gghqvii,8/27/2020
4,planejada,Jgyegar,12/14/2019
4,planejada,Rxugnpi,2/25/2020
1,corretivo,Bdxqxdw,2/28/2020
3,preventivo,Hkzqsmm,7/22/2020
9,corretivo,Tfmozyq,6/1/2020
9,planejada,Pyenpur,6/12/2020
9,planejada,Ktzkoun,3/7/2020
1,corretivo,Sspcepw,8/27/2020
6,planejada,Vimkdfd,12/11/2019
8,corretivo,Jjnrccf,5/22/2020
9,preventivo,Ypybwth,1/18/2020
5,corretivo,Smwotqv,12/15/2019
5,corretivo,Zfyluql,3/3/2020
5,planejada,Yseeuje,11/6/2019
9,preventivo,Kskxsbl,9/20/2020
3,corretivo,Riihpcx,5/31/2020
6,corretivo,Gyomblj,1/4/2020
10,preventivo,Dfdggyy,6/20/2020
10,preventivo,Eeslixy,8/27/2020
4,corretivo,Fawrsxz,11/22/2019
3,corretivo,Doarohr,3/1/2020
4,preventivo,Cbcvwcm,5/18/2020
8,corretivo,Xkanihk,12/30/2019
10,preventivo,Ytuevxx,4/15/2020
10,preventivo,Negvelb,11/19/2019
3,planejada,Mqbfhyl,7/4/2020
9,planejada,Huhoenf,5/19/2020
7,preventivo,Lsbljjy,8/26/2020
2,preventivo,Dvkllwk,4/9/2020
4,preventivo,Hewdwce,3/11/2020
5,preventivo,Zkvrqyo,8/21/2020
8,planejada,Azonzly,3/21/2020
1,corretivo,Pxuovgl,5/6/2020
9,planejada,Rolcsew,5/11/2020
7,corretivo,Gfalkeb,10/12/2019
10,planejada,Ouewjsg,1/12/2020
7,preventivo,Ebxkmwj,7/5/2020
10,planejada,Iylakvj,4/24/2020
5,corretivo,Hzlotmg,7/24/2020
4,corretivo,Cnmpdix,11/4/2019
9,preventivo,Rosvvnj,9/22/2020
10,planejada,Mhlvueq,2/19/2020
8,planejada,Slflonw,11/13/2019
5,planejada,Vhchfiy,9/10/2020
8,planejada,Jebiaww,6/26/2020
9,planejada,Yhokfun,5/2/2020
6,corretivo,Izgydla,11/23/2019
4,planejada,Cpaxgfe,1/28/2020
6,planejada,Jirlfmd,11/12/2019
